Field,ID,Type (種類),default,ja,en
HolographicScreenshot13,412,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshot14,413,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshot15,414,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshot16,415,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshot17,416,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshot18,417,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshot19,418,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshot20,419,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshot21,420,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshot22,421,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshot23,422,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshot24,423,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshot25,424,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshot26,425,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshot27,426,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshot28,427,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshot29,428,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshot30,429,相対パス (またはパートナー センターにあるファイルへの URL),,,
HolographicScreenshotCaption1,450,テキスト,,,
HolographicScreenshotCaption2,451,テキスト,,,
HolographicScreenshotCaption3,452,テキスト,,,
HolographicScreenshotCaption4,453,テキスト,,,
HolographicScreenshotCaption5,454,テキスト,,,
HolographicScreenshotCaption6,455,テキスト,,,
HolographicScreenshotCaption7,456,テキスト,,,
HolographicScreenshotCaption8,457,テキスト,,,
HolographicScreenshotCaption9,458,テキスト,,,
HolographicScreenshotCaption10,459,テキスト,,,
HolographicScreenshotCaption11,460,テキスト,,,
HolographicScreenshotCaption12,461,テキスト,,,
HolographicScreenshotCaption13,462,テキスト,,,
HolographicScreenshotCaption14,463,テキスト,,,
HolographicScreenshotCaption15,464,テキスト,,,
HolographicScreenshotCaption16,465,テキスト,,,
HolographicScreenshotCaption17,466,テキスト,,,
HolographicScreenshotCaption18,467,テキスト,,,
HolographicScreenshotCaption19,468,テキスト,,,
HolographicScreenshotCaption20,469,テキスト,,,
HolographicScreenshotCaption21,470,テキスト,,,
HolographicScreenshotCaption22,471,テキスト,,,
HolographicScreenshotCaption23,472,テキスト,,,
HolographicScreenshotCaption24,473,テキスト,,,
HolographicScreenshotCaption25,474,テキスト,,,
HolographicScreenshotCaption26,475,テキスト,,,
HolographicScreenshotCaption27,476,テキスト,,,
HolographicScreenshotCaption28,477,テキスト,,,
HolographicScreenshotCaption29,478,テキスト,,,
HolographicScreenshotCaption30,479,テキスト,,,
SurfaceHubScreenshot11,510,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot12,511,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot13,512,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot14,513,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot15,514,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot16,515,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot17,516,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot18,517,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot19,518,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot20,519,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot21,520,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot22,521,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot23,522,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot24,523,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot25,524,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot26,525,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot27,526,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot28,527,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot29,528,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshot30,529,相対パス (またはパートナー センターにあるファイルへの URL),,,
SurfaceHubScreenshotCaption11,560,テキスト,,,
SurfaceHubScreenshotCaption12,561,テキスト,,,
SurfaceHubScreenshotCaption13,562,テキスト,,,
SurfaceHubScreenshotCaption14,563,テキスト,,,
SurfaceHubScreenshotCaption15,564,テキスト,,,
SurfaceHubScreenshotCaption16,565,テキスト,,,
SurfaceHubScreenshotCaption17,566,テキスト,,,
SurfaceHubScreenshotCaption18,567,テキスト,,,
SurfaceHubScreenshotCaption19,568,テキスト,,,
SurfaceHubScreenshotCaption20,569,テキスト,,,
SurfaceHubScreenshotCaption21,570,テキスト,,,
SurfaceHubScreenshotCaption22,571,テキスト,,,
SurfaceHubScreenshotCaption23,572,テキスト,,,
SurfaceHubScreenshotCaption24,573,テキスト,,,
SurfaceHubScreenshotCaption25,574,テキスト,,,
SurfaceHubScreenshotCaption26,575,テキスト,,,
SurfaceHubScreenshotCaption27,576,テキスト,,,
SurfaceHubScreenshotCaption28,577,テキスト,,,
SurfaceHubScreenshotCaption29,578,テキスト,,,
SurfaceHubScreenshotCaption30,579,テキスト,,,
StoreLogo720x1080,600,相対パス (またはパートナー センターにあるファイルへの URL),,,
StoreLogo1080x1080,601,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9NR0WT1C5MZ2/submissions/1152921505700023997/listings/1152922700022513089/listingassets/3036331850148052077,https://developer.microsoft.com/en-us/dashboard/apps/9NR0WT1C5MZ2/submissions/1152921505700023997/listings/1152922700022513089/listingassets/3036331850148052077
StoreLogo300x300,602,相対パス (またはパートナー センターにあるファイルへの URL),,,
OverrideLogosForWin10,603,True/False,,False,False
StoreLogoOverride150x150,604,相対パス (またはパートナー センターにあるファイルへの URL),,,
StoreLogoOverride71x71,605,相対パス (またはパートナー センターにあるファイルへの URL),,,
PromoImage1920x1080,606,相対パス (またはパートナー センターにあるファイルへの URL),,,
PromoImage2400x1200,607,相対パス (またはパートナー センターにあるファイルへの URL),,,
XboxBrandedKeyArt584x800,608,相対パス (またはパートナー センターにあるファイルへの URL),,,
XboxTitledHero1920x1080,609,相対パス (またはパートナー センターにあるファイルへの URL),,,
XboxFeaturedPromo1080x1080,610,相対パス (またはパートナー センターにあるファイルへの URL),,,
OptionalPromo358x358,611,相対パス (またはパートナー センターにあるファイルへの URL),,,
OptionalPromo1000x800,612,相対パス (またはパートナー センターにあるファイルへの URL),,,
OptionalPromo414x180,613,相対パス (またはパートナー センターにあるファイルへの URL),,,
Feature1,700,テキスト,,ラベル表示：仮想デスクトップに名前・画像を設定し、切替時に大きく表示。,Label Display: Set names and images for virtual desktops and display them prominently when switching.
Feature2,701,テキスト,,ウィンドウ固定：アプリ起動時に指定ウィンドウを自動で目当てのデスクトップへ移動。,Window Pinning: Automatically move specified windows to target desktops when launching apps.
Feature3,702,テキスト,,自動起動：Windows 起動と同時に VdLabel を開始可能。,Auto Start: VdLabel can start automatically when Windows boots.
Feature4,703,テキスト,,コマンド結果の表示：任意コマンドの出力（例：現在時刻等）をラベルに埋め込み。,"Command Result Display: Embed arbitrary command output (e.g., current time) into labels."
Feature5,704,テキスト,,高速切替ショートカット：テンキーで 0-9、修飾併用で 10-19 へ即ジャンプ。,"Fast Switch Shortcuts: Jump instantly to desktops 0-9 with numpad, 10-19 with modifier keys."
Feature6,705,テキスト,,一覧から切替：一覧 UI を表示し、方向キーで選んで Enter で決定。,"Switch from List: Display list UI, select with arrow keys and confirm with Enter."
Feature7,706,テキスト,,,
Feature8,707,テキスト,,,
Feature9,708,テキスト,,,
Feature10,709,テキスト,,,
Feature11,710,テキスト,,,
Feature12,711,テキスト,,,
Feature13,712,テキスト,,,
Feature14,713,テキスト,,,
Feature15,714,テキスト,,,
Feature16,715,テキスト,,,
Feature17,716,テキスト,,,
Feature18,717,テキスト,,,
Feature19,718,テキスト,,,
Feature20,719,テキスト,,,
MinimumHardwareReq1,800,テキスト,,,
MinimumHardwareReq2,801,テキスト,,,
MinimumHardwareReq3,802,テキスト,,,
MinimumHardwareReq4,803,テキスト,,,
MinimumHardwareReq5,804,テキスト,,,
MinimumHardwareReq6,805,テキスト,,,
MinimumHardwareReq7,806,テキスト,,,
MinimumHardwareReq8,807,テキスト,,,
MinimumHardwareReq9,808,テキスト,,,
MinimumHardwareReq10,809,テキスト,,,
MinimumHardwareReq11,810,テキスト,,,
RecommendedHardwareReq1,850,テキスト,,,
RecommendedHardwareReq2,851,テキスト,,,
RecommendedHardwareReq3,852,テキスト,,,
RecommendedHardwareReq4,853,テキスト,,,
RecommendedHardwareReq5,854,テキスト,,,
RecommendedHardwareReq6,855,テキスト,,,
RecommendedHardwareReq7,856,テキスト,,,
RecommendedHardwareReq8,857,テキスト,,,
RecommendedHardwareReq9,858,テキスト,,,
RecommendedHardwareReq10,859,テキスト,,,
RecommendedHardwareReq11,860,テキスト,,,
SearchTerm1,900,テキスト,,仮想デスクトップ支援ツール,Virtual Desktop Productivity Tool
SearchTerm2,901,テキスト,,仮想デスクトップ管理,Virtual Desktop Management
SearchTerm3,902,テキスト,,ウィンドウ自動整理ソフト,Window Auto-Organization Software
SearchTerm4,903,テキスト,,マルチデスクトップ,Multi Desktop
SearchTerm5,904,テキスト,,マルチデスクトップ,Multi Desktop
SearchTerm6,905,テキスト,,"マルチデスクトップ ",Multi Desktop
SearchTerm7,906,テキスト,,"タスク切替 ",Task Switching
TrailerToPlayAtTopOfListing,999,相対パス (またはパートナー センターにあるファイルへの URL),,,
Trailer1,1000,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9NR0WT1C5MZ2/submissions/1152921505700023997/trailers/3010200011923172123,https://developer.microsoft.com/en-us/dashboard/apps/9NR0WT1C5MZ2/submissions/1152921505700023997/trailers/3010200011923172123
Trailer2,1001,相対パス (またはパートナー センターにあるファイルへの URL),,,
Trailer3,1002,相対パス (またはパートナー センターにあるファイルへの URL),,,
Trailer4,1003,相対パス (またはパートナー センターにあるファイルへの URL),,,
Trailer5,1004,相対パス (またはパートナー センターにあるファイルへの URL),,,
Trailer6,1005,相対パス (またはパートナー センターにあるファイルへの URL),,,
Trailer7,1006,相対パス (またはパートナー センターにあるファイルへの URL),,,
Trailer8,1007,相対パス (またはパートナー センターにあるファイルへの URL),,,
Trailer9,1008,相対パス (またはパートナー センターにあるファイルへの URL),,,
Trailer10,1009,相対パス (またはパートナー センターにあるファイルへの URL),,,
Trailer11,1010,相対パス (またはパートナー センターにあるファイルへの URL),,,
Trailer12,1011,相対パス (またはパートナー センターにあるファイルへの URL),,,
Trailer13,1012,相対パス (またはパートナー センターにあるファイルへの URL),,,
Trailer14,1013,相対パス (またはパートナー センターにあるファイルへの URL),,,
Trailer15,1014,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerTitle1,1020,テキスト,,"仮想デスクトップをさらに快適に！
VdLabel
機能紹介","Make Virtual Desktops Even More Comfortable!
VdLabel
Feature Introduction"
TrailerTitle2,1021,テキスト,,,
TrailerTitle3,1022,テキスト,,,
TrailerTitle4,1023,テキスト,,,
TrailerTitle5,1024,テキスト,,,
TrailerTitle6,1025,テキスト,,,
TrailerTitle7,1026,テキスト,,,
TrailerTitle8,1027,テキスト,,,
TrailerTitle9,1028,テキスト,,,
TrailerTitle10,1029,テキスト,,,
TrailerTitle11,1030,テキスト,,,
TrailerTitle12,1031,テキスト,,,
TrailerTitle13,1032,テキスト,,,
TrailerTitle14,1033,テキスト,,,
TrailerTitle15,1034,テキスト,,,
TrailerThumbnail1,1040,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9NR0WT1C5MZ2/submissions/1152921505700023997/trailers/1152922700022526512/assets/3002362859274742645,https://developer.microsoft.com/en-us/dashboard/apps/9NR0WT1C5MZ2/submissions/1152921505700023997/trailers/1152922700022526512/assets/3002362859274742645
TrailerThumbnail2,1041,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail3,1042,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail4,1043,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail5,1044,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail6,1045,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail7,1046,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail8,1047,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail9,1048,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail10,1049,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail11,1050,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail12,1051,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail13,1052,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail14,1053,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerThumbnail15,1054,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption1,1055,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption2,1056,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption3,1057,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption4,1058,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption5,1059,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption6,1060,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption7,1061,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption8,1062,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption9,1063,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption10,1064,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption11,1065,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption12,1066,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption13,1067,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption14,1068,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerClosedCaption15,1069,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription1,1070,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription2,1071,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription3,1072,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription4,1073,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription5,1074,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription6,1075,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription7,1076,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription8,1077,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription9,1078,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription10,1079,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription11,1080,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription12,1081,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription13,1082,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription14,1083,相対パス (またはパートナー センターにあるファイルへの URL),,,
TrailerAudioDescription15,1084,相対パス (またはパートナー センターにあるファイルへの URL),,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,